,Total Emissions,Coal,Oil,Gas,Cement,Flaring
Denmark,990.593992,276.17444500000005,480.6496850000001,191.15431300000003,25.186358000000002,8.616981000000003
Singapore,983.447076,19.956722000000003,635.2221380000001,328.26821500000005,0.0,0.0
Syria,970.2173949999998,0.162964,677.574879,231.950327,31.169104999999995,29.360116
Norway,965.8085530000001,75.22760000000001,517.134984,307.38783300000006,17.053255,36.179860000000005
Peru,950.5805360000002,63.86387399999999,543.680512,209.11642499999996,73.654822,60.26490300000001
Ireland,923.1664650000001,195.35067500000005,464.308808,212.66779300000002,38.800731000000006,0.064525
Switzerland,914.4001799999999,12.791729000000004,711.5512669999999,145.31915,39.343824999999995,0.8576090000000001
Hong Kong,907.5492880000002,517.0401109999999,258.39975400000003,119.892374,12.217049,0.0
Trinidad and Tobago,869.363297,0.0,92.85034,765.5472980000001,6.7226680000000005,4.242991000000001
Slovakia,839.9789440000001,345.07869500000004,201.43308000000002,242.20064500000004,27.924466000000002,0.46928000000000003
New Zealand,778.968086,137.68147199999999,411.02777399999997,180.90227299999998,11.670368999999999,22.383227
Ecuador,747.4485369999999,0.0,642.1604400000001,24.582543,44.51043799999999,36.195119
Azerbaijan,738.4166690000001,0.15756200000000004,261.232641,435.4357150000001,16.150403999999998,25.440346999999996
Bahrain,597.9621,0.0,83.438255,505.3479810000001,7.158324000000001,2.01754
Cuba,576.9713229999999,0.9810230000000001,515.349257,40.896481,18.980214999999998,0.764351
Tunisia,566.344104,0.9123470000000001,269.89410000000004,215.55787800000002,68.741596,11.238182000000002
Mongolia,513.344979,446.00240899999994,63.187421,0.0,4.0414460000000005,0.113702
Dominican Republic,482.6870130000001,52.12372899999999,364.23456500000003,29.950622000000003,36.378097000000004,0.0
Jordan,479.79211000000004,6.99644,347.57964300000003,93.14846499999999,32.054707,0.012858999999999999
Angola,476.491977,0.0,252.14825199999996,32.17202999999999,19.068793999999997,173.10290099999997
Lebanon,458.24144800000005,12.024495999999997,395.688823,0.5788949999999999,49.949232999999985,0.0
Croatia,447.2949319999999,50.33482200000001,239.10387199999997,113.02242000000001,28.834018000000007,11.631042999999998
Bosnia and Herzegovina,410.2468140000001,304.158719,87.573952,10.645768,7.868373999999999,0.0
Yemen,390.35030100000006,4.9773369999999995,341.30350200000004,13.635112000000001,15.572254999999998,14.862096
Myanmar,384.70285399999995,35.098884,206.086671,123.975447,18.528038,1.013814
Estonia,363.882357,255.410976,71.02535999999999,28.417263,7.338883999999999,0.001006
Bolivia,356.992443,0.146815,198.36047000000002,133.069659,21.630747,3.78475
Sri Lanka,343.00936800000005,51.021033,274.186118,0.0,17.802219,0.0
Slovenia,340.842911,126.14620099999998,160.03748799999997,38.858960999999994,9.707446999999998,3.300728
Sudan,325.50555899999995,0.0,300.65775999999994,0.0,17.862903,6.984896000000001
Lithuania,300.24987200000004,17.122391999999998,159.28193600000003,109.25703399999998,9.159918999999999,4.017221
Guatemala,298.238116,51.589928,221.599736,0.0,24.220856,0.8275939999999999
Kenya,280.194445,18.503731000000002,225.86938800000001,0.0,35.821321,0.0
Ghana,263.607034,0.0,203.94213299999998,27.937973,27.930833000000003,3.796095
Zimbabwe,236.31703799999997,165.11156599999998,62.790789999999994,0.0,8.414683,0.0
Luxembourg,224.132372,7.327441000000001,158.15572300000002,48.490465,8.652154000000001,0.0012169999999999998
Ethiopia,206.349995,11.9677,157.44128999999998,0.0,36.930347999999995,0.01066
Panama,199.431271,13.867062,168.35080799999997,4.125473,13.087929,0.0
Jamaica,198.32910900000002,4.557236,184.505167,1.890941,7.375764,0.0
North Macedonia,198.10802999999999,123.69193599999998,61.27775200000001,6.176675,6.961667,0.0
Honduras,186.89392699999996,5.2325680000000006,167.13193299999998,0.0,14.529422999999998,0.0
Côte d'Ivoire,183.86433499999998,0.0,106.893255,75.673092,0.0,1.2979880000000001
Tanzania,172.29063900000003,12.782209,110.024032,25.670802,23.768108,0.045487999999999994
Latvia,167.84656,7.203341,90.880965,61.400771000000006,7.531837999999999,0.00017400000000000003
Senegal,167.25988200000003,20.359804999999998,111.873673,0.721197,34.293853999999996,0.011355
Kyrgyzstan,167.13490199999998,65.42994,69.79293700000001,21.122976,10.78905,0.0
Cyprus,166.643761,1.758,146.81687000000002,0.014344,17.162258,0.0
Brunei Darussalam,165.535396,1.129193,39.459348,114.39157,0.0,10.555286
Laos,160.495069,97.852386,46.186406000000005,0.0,16.456274999999998,0.0
Georgia,160.41721299999998,14.605692000000003,58.20181600000001,77.012776,10.539639,0.057293000000000004
Costa Rica,160.393643,0.798839,145.441118,0.0,14.153686000000002,0.0
Cambodia,159.254596,28.324441,104.16405200000001,0.0,26.742395999999996,0.023707
Cameroon,146.851085,0.0,101.74913400000001,13.807878,13.452513999999997,17.841556
Afghanistan,146.59072700000002,45.828845,93.56678199999999,6.593126,0.558009,0.043968
Equatorial Guinea,143.809845,0.0,23.861874,65.534764,0.0,54.41320699999999
Nepal,143.773616,36.332791,80.865944,0.0,26.574881,0.0
Uruguay,141.607945,0.098454,131.421356,2.837230999999999,7.250903000000001,0.0
El Salvador,141.17185899999998,0.077482,130.689488,0.0,10.404891000000001,0.0
Papua New Guinea,121.468027,0.0,109.643089,10.297288000000002,0.0,1.527651
Paraguay,120.44784499999999,0.043484999999999996,114.22838099999998,0.0,6.175977999999999,0.0
Gabon,114.79919699999999,0.0,40.301079,13.539597,2.525352,58.433167
Botswana,112.18028800000003,58.315470000000005,53.623672,0.003662,0.23748300000000006,0.0
Kosovo,111.30610399999999,81.700028,26.125623,0.0,3.480453,0.0
Armenia,108.731837,0.213799,19.868242999999996,82.636188,6.0136069999999995,0.0
Curaçao,106.27296200000002,0.0,105.48155400000002,0.7914079999999999,0.0,0.0
Moldova,105.998289,7.530572999999999,46.362324,42.27714399999999,9.828247999999999,0.0
Nicaragua,101.90312899999998,0.0,96.449774,0.0,5.453356000000001,0.0
Albania,99.82191599999999,6.6162529999999995,76.90740799999999,1.362049,14.799850000000003,0.136357
Benin,99.323825,1.512371,92.285452,0.592229,4.9337729999999995,0.0
Tajikistan,98.317485,32.678091,39.402905,13.266138999999999,12.970350000000002,0.0
Zambia,89.902995,17.952163,60.947857,0.0,11.002977000000003,0.0
Réunion,89.42465299999999,38.548882,50.875771,0.0,0.0,0.0
Mozambique,88.39771,1.8408259999999996,60.89771600000001,14.666015000000002,10.840537,0.15261699999999995
Mauritius,83.539211,29.372065000000003,54.167146,0.0,0.0,0.0
New Caledonia,82.153704,30.843277999999998,50.36653199999999,0.0,0.9438900000000001,0.0
Uganda,76.721323,0.0,70.13357100000002,0.0,6.587750999999999,0.0
Congo,76.321665,0.0,34.503501000000014,13.121873,2.7650559999999995,25.931235
Iceland,74.002721,13.333120999999998,56.56658000000001,0.003332,0.538968,3.4777689999999994
Namibia,65.20264599999999,1.5535779999999997,59.663289999999996,0.0,3.9857780000000007,0.0
